Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]","2026 [YR2026]","2027 [YR2027]","2028 [YR2028]","2029 [YR2029]","2030 [YR2030]","2031 [YR2031]","2032 [YR2032]","2033 [YR2033]","2034 [YR2034]","2035 [YR2035]","2036 [YR2036]","2037 [YR2037]","2038 [YR2038]","2039 [YR2039]","2040 [YR2040]","2041 [YR2041]","2042 [YR2042]","2043 [YR2043]","2044 [YR2044]","2045 [YR2045]","2046 [YR2046]","2047 [YR2047]","2048 [YR2048]","2049 [YR2049]","2050 [YR2050]"
Afghanistan,"AFG","Age population, age 03, male, interpolated","SP.POP.AG03.MA.IN","145153","150745","156147","161012","162515","167602","173531","179117","184287","187012","193206","200599","207738","214186","217993","223178","229688","235326","239279","241485","238916","238123","235132","230530","221067","219275","216933","216052","217319","213410","228511","242856","261618","282298","304032","319051","333867","345164","355024","365931","380385","398040","418267","438325","451090","464321","478236","488083","494971","499868","506123","510043","513969","516626","513094","512071","508565","","","","505000","","","","","516000","","","","","512000","","","","","512000","","","","","502000","","","","","483000","","","","","462000"
Afghanistan,"AFG","Age population, age 04, female, interpolated","SP.POP.AG04.FE.IN","130047","135717","142087","148217","152847","154565","159790","164577","168964","173112","177153","183810","190319","196262","201168","204633","210322","215211","218572","219609","217880","216425","213061","208425","203371","198320","196464","196141","197729","201588","207598","219611","235233","252595","269535","284872","299170","311011","321689","332992","345983","361638","379268","396995","412313","423031","436948","447946","456694","464367","471844","478526","484935","489876","491733","489202","486273","","","","474000","","","","","489000","","","","","485000","","","","","485000","","","","","479000","","","","","462000","","","","","442000"
Afghanistan,"AFG","Age population, age 04, male, interpolated","SP.POP.AG04.MA.IN","137059","142171","147234","151921","155878","158726","164356","169709","174687","179241","183268","190249","197073","203319","208531","212298","218400","223753","227581","229024","227577","226594","223687","219433","214612","209601","207499","206807","208150","212201","219005","232665","250548","270240","288953","305114","319115","329707","338848","349119","362154","378652","398162","418251","435692","447785","462850","474133","482614","489870","496951","502458","508098","512643","514476","512513","510686","","","","500000","","","","","515000","","","","","510000","","","","","511000","","","","","504000","","","","","486000","","","","","465000"
Afghanistan,"AFG","Age population, age 05, female, interpolated","SP.POP.AG05.FE.IN","123728","128098","133500","139162","144008","146808","151906","156607","160891","164869","168617","174884","181097","186848","191687","195212","200531","205162","208401","209478","207962","206270","202895","198468","193814","189353","187651","187453","189103","192927","198805","210246","225103","241555","257518","271842","285208","296295","306339","317038","329394","344151","361171","378818","394833","407246","422023","434121","444081","452943","461480","469301","477100","483791","487868","488114","487495","","","","471000","","","","","487000","","","","","484000","","","","","485000","","","","","480000","","","","","465000","","","","","445000"
Afghanistan,"AFG","Age population, age 05, male, interpolated","SP.POP.AG05.MA.IN","130134","134751","139450","143924","147838","150836","156166","161295","166106","170527","174441","181009","187523","193570","198706","202532","208230","213305","217007","218509","217323","216108","213212","209207","204854","200535","198653","198142","199587","203604","210226","223256","240328","259119","276939","292280","305539","315513","324044","333566","345602","360813","379338","399037","417011","430813","446789","459323","469265","478063","486676","493665","500890","507179","510955","511155","511331","","","","497000","","","","","513000","","","","","509000","","","","","510000","","","","","506000","","","","","489000","","","","","469000"
Afghanistan,"AFG","Age population, age 06, female, interpolated","SP.POP.AG06.FE.IN","119108","122173","126566","131572","136331","139795","144774","149360","153584","157465","161032","166927","172827","178391","183158","186742","191720","196082","199204","200322","199010","197067","193627","189334","184986","181006","179445","179338","181051","184866","190652","201599","215756","231406","246510","259952","272445","282796","292231","302351","314106","327821","344108","361360","377641","391186","406659","419640","430719","440743","450376","459181","468219","476417","482409","485070","487116","","","","471000","","","","","485000","","","","","483000","","","","","484000","","","","","481000","","","","","468000","","","","","449000"
Afghanistan,"AFG","Age population, age 06, male, interpolated","SP.POP.AG06.MA.IN","124264","128386","132689","136919","140748","143842","148894","153780","158443","162765","166608","172787","178972","184822","189883","193763","199087","203866","207440","208992","208045","206575","203628","199786","195793","192037","190364","190006","191563","195589","202090","214552","230872","248839","265850","280446","293055","302458","310473","319368","330564","344355","361776","380744","398749","413616","430283","443811","455056","465288","475376","483739","492436","500334","505905","508109","510622","","","","496000","","","","","510000","","","","","508000","","","","","510000","","","","","507000","","","","","492000","","","","","473000"
Afghanistan,"AFG","Age population, age 07, female, interpolated","SP.POP.AG07.FE.IN","115875","117648","121012","125307","129737","133503","138386","142845","146964","150809","154287","159851","165441","170781","175476","179113","183800","187900","190872","192031","190920","188724","185183","180950","176829","173229","171814","171777","173515","177336","183067","193602","207134","222044","236401","249080","260776","270423","279245","288814","300000","312529","327953","344695","360860","375043","391076","404749","416700","427828","438559","448193","458312","467865","475501","480247","485328","","","","471000","","","","","482000","","","","","482000","","","","","484000","","","","","482000","","","","","471000","","","","","453000"
Afghanistan,"AFG","Age population, age 07, male, interpolated","SP.POP.AG07.MA.IN","119328","122980","126871","130807","134516","137659","142467","147114","151592","155839","159653","165483","171343","176958","181945","185879","190873","195365","198773","200365","199639","197906","194860","191101","187373","184066","182609","182387","184018","188080","194520","206480","222112","239306","255584","269514","281573","290469","297993","306372","316874","329112","345308","363428","381043","396398","413566","427845","440112","451650","463125","472760","482818","492205","499430","503483","508682","","","","496000","","","","","508000","","","","","508000","","","","","509000","","","","","507000","","","","","495000","","","","","476000"
Afghanistan,"AFG","Age population, age 08, female, interpolated","SP.POP.AG08.FE.IN","113718","114460","116568","120114","124138","127905","132528","137075","141060","144807","148274","153454","158866","163964","168534","172221","176564","180548","183355","184497","183582","181121","177490","173265","169284","165978","164606","164754","166491","170272","175975","186086","199184","213422","227080","239108","250005","259092","267312","276312","286961","298550","312576","328683","344623","359001","375126","389695","402300","414254","426056","436545","447403","458156","467283","473815","481325","","","","473000","","","","","479000","","","","","482000","","","","","483000","","","","","483000","","","","","473000","","","","","457000"
